date,ipi_log_d12,ipi_manufacturing_log_d12,ipi_mining_log_d12,ipi_water_electro_gas_log_d12,pi_agriculture_log_d12,pv_eggs_log_d12,pv_meat_log_d12,pv_milk_log_d12,comm_freight_log_d12,rail_load_log_d12,constr_vol_log_d12,build_comis_log_d12,retail_nom_log_d12,retail_nom_food_log_d12,retail_nom_nonfood_log_d12,retail_real_log_d12,retail_real_food_log_d12,retail_real_nonfood_log_d12,market_service_vol_real_log_d12,cpi_log_d12,wholesale_nom_log_d12,wholesale_real_log_d12,loans_deposits_log_d12,credit_debt_log_d12,credit_debt_overdue_log_d12,credit_debt_overdue_gov_log_d12,credit_debt_overdue_suppliers_log_d12,debit_debt_log_d12,debit_debt_overdue_log_d12,debit_debt_overdue_customers_log_d12,wage_debt_overdue_log_d12,ppi_coal_log_d12,ppi_diesel_log_d12,ppi_gas_log_d12,ppi_gasoline_log_d12,ppi_oil_log_d12,ppi_residual_log_d12,ppi_animal_husbandry_log_d12,ppi_eggs_log_d12,ppi_meat_log_d12,ppi_milk_log_d12,ppi_poultry_log_d12,pi_inv_log_d12,pi_inv_construction_log_d12,pi_freight_log_d12,cpi_alchohol_log_d12,cpi_food_log_d12,cpi_nonfood_log_d12,cpi_services_log_d12,labor_demand_log_d12,un_log_d12,un_workload_log_d12,wage_nom_log_d12,wage_real_log_d12,brent_log_d12,neer_log_d12,reer_log_d12,miacr_log_d12,m0_log_d12,m1_log_d12,m2_log_d12,ex_usd_log_d12,im_usd_log_d12
1999-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,0.3240756858836873,0.03823095556307177,-0.01553860342777913,0.0035294154284617463,0.06584303539107861,0.1427219840036349,0.4265185173059969,,0.3351812323928458,0.2764249179271463,0.38962211079477527,0.0708899545316326,0.04673560828839474,0.09916027645936953,-0.03473107465854408,0.25385854359174864,,,0.3816065461238036,0.19224938833967808,0.0849209923304386,0.17591842689117598,0.05339049389789796,0.22913613640668284,0.02038662822686632,-0.008396354952905583,-0.5657402993504945,0.3063742054639338,1.113151103546799,0.08869007471471857,1.3361841218823827,1.0470048605018638,0.9514381196398007,0.38327326713433063,-0.02343459254774416,0.44560414340262966,0.4293590571949366,0.2413100367633234,0.3902443190043128,0.3340554874387207,0.267741841060146,0.35537052989805584,0.21525504251519312,0.29098712136808036,0.2842414406265448,0.5975330031852595,-0.1345308929576059,-1.0128496111123244,0.4498796135489105,0.20749591890554253,0.8312249285021815,-0.12858066732717077,0.09291667347033261,,,,,0.44511164073893816,0.07402310292301095
2000-02-01,0.12491548622646587,0.16704840741340377,0.07613443565968314,0.06289447055566377,0.39361710373656056,0.017627019216317485,0.016807118316381597,0.011397681051284358,0.12651556586219126,0.20215327542237382,0.44751334435166346,,0.3131880238425806,0.26603260075492763,0.3571571427747253,0.08115698517137648,0.074330614234281,0.09194746827012956,-0.06118226074571442,0.22362708481208493,,,0.37105369332656846,0.2494276748229316,0.14734503892737916,0.2201835096857332,0.13632988243201716,0.2662092150991082,0.10258096235267189,0.07330320201847051,-0.5275975239158566,0.2023684887392454,1.1516640605147979,0.32879922636024705,1.261637384513893,1.0062389685370947,0.961585875246965,0.28823777487465385,-0.014631662268064005,0.3181435376100392,0.36060105021661304,0.10549810078884292,0.3951199990677958,0.34980384440685963,0.267741841060146,0.3418437535998544,0.17419355571741946,0.26468263348134524,0.2823015758087184,0.5552043109595406,-0.16332505610329973,-0.9744207153563531,0.4277340695768066,0.21051859123212857,0.9950893133857308,-0.1451820098444978,0.04407298572413865,,,,,0.512675763054153,0.1457179233706274
2000-03-01,0.07310926370755055,0.10143677329832101,0.042798015392090605,0.019736744443042298,0.46185909631864597,0.07419259958152224,0.02756079957887181,-0.005192569001627234,0.04035517315332804,0.147661364387508,0.4358917947388723,,0.28898427708189534,0.24300577514188948,0.33124483318606135,0.0802131436666711,0.07811491392552128,0.08441447596258378,-0.050122240170778376,0.20199398945665958,,,0.4024786746738549,0.2590699356699746,0.17652986392668613,0.2296155486563345,0.15652956378913796,0.2495416993676054,0.11031910355255636,0.084846384768265,-0.511192823641597,0.2157085728266912,1.0977586821288696,0.30710893143154383,1.2098515341276448,0.983466617177811,0.9405159892193042,0.2307450805702853,0.0,0.1809400580278453,0.2740186868087786,0.06192680369435699,0.39026326295484637,0.3537100993739246,0.26375379988219105,0.3262488956419478,0.1465511244374147,0.2470868715909651,0.27836843406188105,0.5492530008998759,-0.20544397421480864,-0.9712787704725532,0.3764067822921149,0.185131915095889,0.7872939776983348,-0.10117837226998194,0.06550152914634211,,,,,0.4845470700544574,0.04851250614004421
2000-04-01,0.16348020534585306,0.23928274410063555,0.05939185637330269,0.018457153737417187,0.4867731901270851,0.03798149523350425,0.028604810581663642,-0.005560112443504295,0.03684440836847269,0.122354472188964,0.4933264638994985,,0.27242596260162966,0.2176906447400615,0.3221253848630603,0.08634186560804391,0.07505212439497466,0.09872964884334756,-0.036944147790221926,0.18139492858658635,,,0.367409824001828,0.22999214653627043,0.16264034386492288,0.18800924986683665,0.12844511067839548,0.23872724662679268,0.10708051252324768,0.08565961599884098,-0.5290294942972675,0.2231435513142097,1.0005347714541992,0.24377030034039127,1.0360055609836651,0.9808292530117262,0.8886047136228061,0.19589160116922155,0.044988387214782044,0.17494474900421153,0.24724426799611265,0.09993197033053214,0.38634936363370986,0.3695207054005669,0.26275728759245176,0.3007822892048866,0.12385651450971569,0.22275477093143525,0.26862176820958705,0.512978477127092,-0.2231435513142097,-0.9351699460800909,0.3596921724846025,0.18712991775856125,0.3978055893171595,-0.054668198582312755,0.09500039045860031,,,,,0.25452239563378853,0.019853357815671657
2000-05-01,0.10285558352941848,0.13757595399961797,0.056366135456766386,0.04446481154994952,0.5016470389502912,0.03501312455768257,0.049480057263370014,-0.004724199421215047,0.03927524770092994,0.10523440430133135,0.5062698072301299,,0.25809087227722216,0.19894644276358964,0.3126175171596275,0.08033584154783213,0.05416623341514093,0.10578257480523412,-0.01177925669590163,0.17747335493340444,,,0.35575160791462856,0.22248346547908682,0.15927132843657432,0.16270450990101715,0.15676173477033206,0.2335464119384163,0.1047583431867034,0.06528786549635157,-0.4896800047668073,0.2265276492984496,0.8828056048699828,0.27369583047704094,1.0452869693332874,0.9300898218341249,0.878187361592893,0.17490132527738567,0.10107260709717902,0.13886981672411736,0.19478545511788248,0.12688158856227716,0.3688050539828005,0.36267471289257625,0.250934489781395,0.29487094194182983,0.12679337418302516,0.20705278002334815,0.260755454293605,0.48392496776434424,-0.22508341613203653,-0.9089484532708285,0.3557914015561794,0.18614128693162169,0.599608247979615,-0.047250620573144,0.09844511637703501,,,,,0.5244031641058093,0.15041884190451693
2000-06-01,0.10977602637399198,0.1413746290328346,0.0643741862601086,0.03962218707416154,0.5145248791267836,0.01228894113435075,0.05898515502101542,-0.025623476261733558,0.05125651548392529,0.1208048380853004,0.49247648509779385,,0.26420180484293887,0.2188176613670878,0.30574356189996266,0.08430016784974104,0.059173755145763174,0.10676441091749034,-0.022880203255347453,0.1843193474413951,,,0.3888887760566586,0.23921550299182925,0.15091366371248416,0.13776582392570003,0.1341427330073106,0.22759244481868812,0.0690533931839985,0.03721115809955222,-0.45543773121676345,0.21484474849951418,0.7192174787280621,0.2926696139628202,0.8466768869914825,0.8767985247839016,0.8709077260263376,0.1578240644591924,0.09769668016990529,0.14207971291774335,0.15939221042532736,0.11916552884241582,0.3726961094757666,0.38023613982252424,0.24493447178129735,0.29487094194182983,0.14335488277202746,0.19914760051623492,0.2559128298178166,0.3878240773042627,-0.23690974707835766,-0.7911980266909238,0.34417400758156,0.173997279676823,0.630708177304657,-0.09269313050500294,0.056117602773606556,,,,,0.5048721404138927,-0.12179664084529307
2000-07-01,0.08132879179879371,0.09545837999083595,0.06998167758905272,0.04164035123039822,0.5002998881954364,0.007892700798908692,0.05877131741541319,0.009035817254117617,0.055628561293089795,0.06500483030899584,0.49569466108869387,,0.26584033053673206,0.21529157603152438,0.3123089409837485,0.0982030730187331,0.06914392746561226,0.12458666482499581,-0.013199585544623638,0.174544098536753,,,0.4153452167078715,0.22847028509254397,0.15912122190777733,0.1715144924063523,0.1575939242342379,0.2399535325463127,0.08051259569220637,0.04455108977517597,-0.40656808370847486,0.1887113548927255,0.5575267168119709,0.37001835911241665,0.5414454545329921,0.8071999674617025,0.7818956570309812,0.14793278698045054,0.09929231927521176,0.11158954937604015,0.14411990480304748,0.15839703887998624,0.3688276326978466,0.38800316916018396,0.216403269409148,0.2889770152530522,0.12872761076285677,0.1882940159248241,0.2626794095266902,0.33383545196890996,-0.2231435513142097,-0.6939184879641696,0.35258749166339154,0.1934153655339248,0.40755934971127905,-0.07719848233984283,0.062016238870774565,,,,,0.33691848811612246,0.10263011608007311
2000-08-01,0.09712378947028277,0.11894282522390576,0.07709914535791729,0.0320525500752451,0.6230488593568104,0.006485107034471582,0.05839496648916587,-0.004258345682577769,0.030814763044009652,0.05904902885279917,0.541284831250699,,0.251173414390804,0.2231435513142097,0.27534552363797804,0.0897164591414139,0.07881518273079013,0.09880254766928065,-0.015170029531923035,0.17256585852464656,,,0.4420435115400547,0.20828874390251784,0.1334000262830175,0.13695488107604348,0.1507834172689,0.24073584476994636,0.09163241372165665,0.04784347303984138,-0.3776134022293913,0.2876820724517808,0.4949101684600903,0.3146051054572405,0.48324527658381733,0.7199415336974662,0.8878579800359372,0.15286133318159845,0.15676369411779056,0.10637616599212052,0.13266805837423146,0.21269212803723647,0.34836905260674644,0.3589313543382069,0.3655763381626542,0.28109520105079877,0.12773010444573174,0.178480394476499,0.273416457527647,0.3309379525936942,-0.2006706954621511,-0.6487497446553689,0.353123870213655,0.19748454714065033,0.4011697107884986,-0.022340938432171775,0.11686321342381678,,,,,0.4156109301188966,0.18907699675060385
2000-09-01,0.059864577686275844,0.059223590522283764,0.0780867997591903,0.03292782365409952,0.6296309235524502,0.011520462552661925,0.050552279162831226,-0.014971358233869303,0.03779415943657849,0.057294904661152835,0.48504150661027623,,0.24328670350848292,0.2069085783383482,0.27543397310803996,0.08572841796345809,0.06417363273784282,0.10388127874829678,-0.04351200753419793,0.17059347129744218,,,0.483665855415639,0.21874861876423068,0.14127359356670777,0.15246859364427312,0.11999979559577678,0.23893332601121386,0.08730373191058316,0.02640200639901291,-0.383449424977389,0.34927054976452254,0.3956627649588338,0.29434432227719665,0.24352195105613283,0.6379005747916002,0.6520736453516571,0.15580107072252414,0.20512047175876003,0.11098721707337589,0.09211528890780585,0.2685659873519768,0.3261994699411641,0.3455468333034588,0.38331079310242266,0.268268187491044,0.12673656238685282,0.1726210027126056,0.2812289972644404,0.30584457680271715,-0.21905356606268445,-0.5860977005466701,0.3404514147117119,0.18773788128835545,0.38544950338678685,0.026584386762909418,0.16211246991145778,,,,,0.3562853016423677,0.17414990764463578
2000-10-01,0.10517353214913072,0.13079064508443938,0.08608684242626641,0.050095627276466104,0.5753104543764476,0.04850835495240613,0.028361117621697574,0.00510560403570004,0.04996043931762273,0.06914935376565268,0.5166339653617378,,0.2487844668781829,0.2274326962775186,0.2675953138850433,0.0867073705624426,0.07297564555593272,0.09702186919740363,-0.021444913505519025,0.17747310531097948,,,0.4805790104670171,0.20498560919282127,0.12334977936601454,0.16610591771476102,0.1181505537440799,0.22866189405265658,0.06452447135920636,0.00915429278348423,-0.33805844246082195,0.2917062227515066,0.35600338165529166,0.4623579882237703,0.18221316158491696,0.5390944199494108,0.6189741275432281,0.1749404109332211,0.3467156040359738,0.162959565412093,0.07636403628040433,0.4019600221502184,0.31845499754568607,0.34074144202851997,0.3823192213801274,0.2544339747614952,0.14347747526774413,0.1696812651716817,0.2851428965855769,0.2831469172863894,-0.23531408693446476,-0.5204036676560708,0.34583552332367606,0.1887334015298574,0.34165359536321027,0.057786751906490075,0.20154664775722342,,,,,0.2594054187532233,0.20978004138152784
2000-11-01,0.08537090485295096,0.11042334226000605,0.08096125457745362,0.021617990983649804,0.5342545690821172,0.05788310406660635,0.019537896556339973,0.030209975150955692,0.044677480920436885,0.0873154670026155,0.5359260168130184,,0.25892347874762667,0.24934592370823339,0.2671656888456173,0.09562273422039436,0.08899200394450624,0.09898457836525232,-0.00750046444688568,0.180433146939456,,,0.4978872756837349,0.20247731303963512,0.12899346935917233,0.1843555542989188,0.13424333500650487,0.2456445632523483,0.11107869423529415,0.0559832528932267,-0.3347117059007907,0.29161135059167087,0.4019542794581028,0.37996281529722875,0.1610684515771741,0.46329669598901724,0.7643774528860519,0.1835405594968602,0.319208326098555,0.15092765114057727,0.07662862885874411,0.3236663394231698,0.3009788246111249,0.32818695554925803,0.3668450247975299,0.24064065262915868,0.15039108305256121,0.1696812651716817,0.28415912867544435,0.28565408554703975,-0.25131442828090567,-0.4847209717722638,0.33782881824409294,0.17799635352890153,0.2808442645166891,0.06552310951440976,0.21007642096498103,,,,,0.2951846172859405,0.23679231303601078
2000-12-01,-0.06811011714442028,-0.14390642493153027,0.06426965448420141,0.03380265000001703,0.49767115190360833,0.00532523129875262,0.021999930801863243,0.04508327506419274,0.017515854886868354,0.03953083875663488,0.46719068786912077,,0.2569650997897206,0.2528466343676872,0.26061779334972623,0.09216849935230798,0.08899200394450713,0.09112084190503733,-0.004698033841183502,0.18339027082920012,,,0.44080029429224865,0.19205296424417906,0.1485981947124726,0.23009607062909154,0.139867211073609,0.20341733256054262,0.11764662675685589,0.0950926052161778,-0.3237286819710885,0.315516871445225,0.43399257443856243,0.4054651081081646,0.19019279600204975,0.43567095016523005,0.5891244577437789,0.19021042700596702,0.22478828852708777,0.18391744771441587,0.10980853520373302,0.33090242002343473,0.3078047896815246,0.33981499354437705,0.41644196593690275,0.22396542563452027,0.15826513948346754,0.17066989599862126,0.2910727364602623,0.2446787038655076,-0.23319388716771128,-0.43210031536080784,0.28142072393514717,0.1319355801523665,0.007432070196125018,0.04869375746159221,0.19743912047569356,,,,,0.05475368687214832,0.21346148365012851
2001-01-01,0.003797634099698577,-0.023338484580408547,0.04276344926323716,0.013681246800596014,0.4888605222214535,-0.011696039763190669,0.043770663055328285,0.01630787451352056,0.014725835045043212,0.011022769290750745,0.4146817632130886,,0.23028184152800435,0.22339509200224228,0.23627284275600235,0.06663519734714374,0.0507393450778606,0.07431372358865573,0.046403426290574146,0.18826595089268405,,,0.43418802122705014,0.2782068440473955,0.16205993882499392,0.23412596798281893,0.1744378677354117,0.3679298978123091,0.24843343658349593,0.2275795050510192,-0.32228470365299344,0.19497267434751375,0.5570574956579577,0.5902436685951713,0.21794589223206629,0.3940295335936934,0.44547044272186387,0.22047139878777688,0.248791201801696,0.2727639998760516,0.16927922565483833,0.2779531348364177,0.288329977500557,0.33101298072628627,0.30083995622687976,0.1537944664401376,0.1768475812762924,0.16281130938610033,0.30261132601675644,0.22648245257972466,-0.23319388716771128,-0.37450415230112544,0.40108394009260184,0.21946186369783494,0.004302764314868313,0.06709321585304551,0.2222364042293874,,,,,0.201469669453898,0.11422147217406575
2001-02-01,0.004834440828139108,-0.0045353576173123855,0.010222617139951318,0.018170592163190058,0.45865851892861187,-0.03430797314032841,-0.006269613013595077,-0.011397681051284358,-0.01905491668822812,-0.032022440568406196,0.39890770756200533,,0.2525695065577569,0.24116205681688818,0.2626238137184185,0.0798266621015058,0.04973077212297561,0.10084589218053353,0.042271189005663956,0.20105510700900542,,,0.4012753186047071,0.24637339959333993,0.096357239407868,0.16900313163962633,0.07709620366927972,0.32098501231883514,0.13904538847780756,0.12385100630355517,-0.3296836338410589,0.34515850187717323,0.46800598942770044,0.15585667967235928,0.1944158381725316,0.35962756989269806,0.2993473035084291,0.2560834705766535,0.3590530663436997,0.2531862913306604,0.1820651794050363,0.32620065072355864,0.2805174377637636,0.3300359410784601,0.2988439475801634,0.13513904077863614,0.19954219120399053,0.16281130938610033,0.31515369979384733,0.20037834054119763,-0.21511137961694526,-0.3162366151636897,0.3672227090717186,0.17313345565118787,-0.010130332653671914,0.06758379713074891,0.23756068119176188,,,,,0.032091094139870435,0.0950834481402758
2001-03-01,0.022403085030463288,0.011608490754044354,0.044469369741689135,0.0171444248078787,0.42955850244217153,-0.0011007155761859622,-0.011718884113213868,0.004760883262136417,0.024740845264801692,0.023167059281535174,0.37666311720445833,,0.26796867709177086,0.2672117610407545,0.26863387748108636,0.08735256780185274,0.0591293375466142,0.10837888448807931,0.003966646324162326,0.21389478957204577,,,0.4065048794521662,0.20643639124612,0.03035267042112455,0.1464296921141628,0.025043610011636908,0.3102818410605561,0.12314923673509615,0.13048115985240827,-0.2630071888771379,0.3596555720768704,0.4508199393179151,0.15855133746004313,0.16080529176744562,0.32283393961109574,0.25479875236351646,0.28475572634553004,0.40428377306233276,0.3243541844014324,0.20027444815203133,0.384423936610526,0.2677784119863338,0.32024154348617273,0.29984244990975295,0.1232811943278529,0.2193644457781625,0.16182462948365472,0.3336998633863342,0.1668251207239866,-0.18232155679395445,-0.2626512496897222,0.38443278550242344,0.18136395478770329,-0.11514918462647294,0.0639964667381756,0.24536806776036446,,,,,-0.025573868451276738,0.17075733540815463
2001-04-01,-0.05739693364782905,-0.11892674252626545,0.03669479219455862,0.03616846081257474,0.44032708423230194,0.018975901459005406,-0.004347832936103302,0.008816383637279657,0.03955510539849705,0.009080652635746311,0.36844342909623906,,0.29035005128634417,0.29283281857643306,0.2882054956513782,0.1055165384295238,0.06727602211443262,0.13542109316340145,0.03470778787844253,0.22277496632890514,,,0.4293192165407369,0.2103253763216415,0.03460595463995819,0.146150100802795,0.04259965571854174,0.3056962604541198,0.14122174590852943,0.1391594453415248,-0.19536038041265336,0.3666252747919012,0.4143277953660096,0.1574199920976307,0.21503475420025708,0.28998646228475344,0.21430337790801257,0.29942591609332414,0.38523320413658,0.3481879051254033,0.20718507006296427,0.3560880017246131,0.25594395433933137,0.3064209878675399,0.2988449435926279,0.12129509635622338,0.23912793489700235,0.15589575836137648,0.34053249123677887,0.14953173397096364,-0.17127172060736973,-0.21357410029805912,0.36015099453679156,0.14580916859618842,0.1199287499293602,0.07104519102126172,0.2551284726941665,,,,,0.034820255080685314,0.2792445472698635
2001-05-01,0.06642841646451725,0.08665167643195737,0.044743125377387116,-0.023005502226842722,0.45788851116224993,0.03382856392195244,-0.020906684819313348,0.015204162960433365,0.04758841661911539,0.013528954940319693,0.35585268817087545,,0.3053231032556818,0.3001488412169113,0.30980800722490454,0.12046449986539631,0.0742865666006498,0.1582508688015274,0.040654287066169914,0.22277496632890514,,,0.4407181825642228,0.22808958033095195,0.03357070179423527,0.1554117140422866,0.049184895152662556,0.3052128127224494,0.09035059680759083,0.10303401164919279,-0.17608361930917482,0.4233227255081715,0.3781878627619015,0.15011841629931943,0.17414427437313407,0.2955414717496705,0.15156168161735284,0.3054682305492866,0.36448963342491947,0.36944686978956476,0.20057361750847846,0.35914476006595564,0.2470550069220847,0.29358130530450044,0.3165271331675781,0.11733469514012551,0.24108106051788436,0.15391555969451431,0.3454561840985635,0.177895493569177,-0.18038169197612808,-0.2113090936672064,0.37403878493357645,0.16151115950427464,0.020339684237122846,0.0316164594588173,0.21205406082215372,,,,,0.018054403122668816,0.3237534642134392
2001-06-01,0.04148946811726528,0.0361064184837252,0.054663841664135404,0.0021605952208596513,0.46963032903893254,0.05697179761567206,-0.026603745517975952,0.009438718856447537,0.03805086288170223,0.0034423441909732233,0.32690278560506236,,0.29158911682906563,0.276930842930196,0.30426120125469236,0.1135165810965999,0.06424632161541677,0.15333201972993127,0.02376833237464382,0.21298056873661686,,,0.47643791779773625,0.21036579370082897,0.03164801794755334,0.14774705027853585,0.030933693828737674,0.30043494205215815,0.10496857272817284,0.11665342325065975,-0.15577484360011695,0.49469624183610694,0.34171543340938726,0.5520274647243255,0.1651708955994522,0.30599345746258777,0.11714791337399877,0.3074925227385181,0.29475123804220704,0.40169124130165557,0.19896879022711111,0.3662388601395108,0.2234782763580876,0.2671221429546877,0.3749663490759767,0.1143717300094691,0.22648226109673164,0.1519294617228848,0.3405899944473907,0.2099309528787474,-0.172469260350943,-0.22503212600207778,0.358765172883003,0.15491047547292336,-0.06767542713806574,0.06582184724322904,0.23873461720024558,,,,,0.0588021997873831,0.2909671284148363
2001-07-01,0.047441866644560626,0.04323113055585104,0.05092901005848205,0.020143097771292418,0.5669355652364398,0.06807001391904244,-0.004576667027412107,0.01022765243730639,0.02502666971724654,0.035493136025942285,0.3178865697459252,,0.27538277041362935,0.2809023854664021,0.2705238745621168,0.10857341729907954,0.08971292805247799,0.12344931812991877,0.018939737768448595,0.2001281921193252,,,0.4772440855672917,0.2195945880796426,0.04074670785409573,0.12788113156338543,0.038035188470053605,0.31104413491441996,0.10842502914152252,0.10125182948551803,-0.15289084114901463,0.4612070911163997,0.313949999272392,0.6042596304120877,0.142715145329106,0.24631901891830132,0.01567634976738752,0.2904495037015451,0.1558371501388205,0.423589297223657,0.19661356113799755,0.2416665673922811,0.20093935067018887,0.23966943854599787,0.4591460426543561,0.11042305755405213,0.20463432157086192,0.14894883358474686,0.33188166655560636,0.22027916685052773,-0.16251892949777513,-0.2114452685159227,0.37935243181100997,0.18580481094777923,-0.15304715132845503,0.0422094904897774,0.20389168064652186,,,,,-0.05306250728836304,0.2233214186849093
2001-08-01,0.041547939955782986,0.030578893652141836,0.05698963467017304,0.022068026180876554,0.5635571836448134,0.05715841383994835,0.00628274317949451,0.018602565753667477,0.042200354490376846,0.03935302620615744,0.35206433138104876,,0.273389901005304,0.2809023854664021,0.2670344015583126,0.11518033137482142,0.10214733025090528,0.1253132515679818,0.013996573970929127,0.19017786126615732,,,0.4856901677579897,0.2247250129490741,0.03304491200177129,0.13439077205604377,0.014131304061567818,0.31609105119895453,0.08602766001366913,0.09620572134693717,-0.17232360855017426,0.341443249343234,0.28305299852604904,0.6156718683916544,0.07538551943703098,0.23088952342886504,-0.1276065026769082,0.28056800037154783,0.10400260037108744,0.39236752641968486,0.20138496158410923,0.2271723918430446,0.1940257428853709,0.2327626523327435,0.3546405933162635,0.10844285888719085,0.18955107935953297,0.14301409806493304,0.32506235128355154,0.2074392380306369,-0.15246859364427356,-0.1802519866848975,0.38857653576328044,0.203913957737627,-0.16212944555906317,-0.011069422824581565,0.14174568815886524,0.48117692984386085,,,,-0.0014013782510637895,0.21616024306444714
2001-09-01,0.0455359811337388,0.04584636578292933,0.048065430673164045,-0.012648410776892938,0.5350381405725875,0.04976487947281072,0.013986241974739855,-0.003434069308846155,0.04815682025919621,0.033089156807116105,0.3184537311185349,,0.25944171002488847,0.25002296934003443,0.26741495497031487,0.11017280964419918,0.08027767136093811,0.13439046971909807,0.0026386821265198535,0.1832437076771578,,,0.46414351518664887,0.20329746806271665,0.023916618430447123,0.10321918721648338,0.02603012747970368,0.3024333036024238,0.08801353690071867,0.12658810595177883,-0.15634365838178432,0.33976984884276895,0.1756568850482214,0.6413644954540594,-0.007495350518567534,0.15607068041708327,-0.07507602644035671,0.2736951210837857,0.12413802753876091,0.39780963432578886,0.20839833594600776,0.24919086386528555,0.1753336098732179,0.20147955395207795,0.33192356703203085,0.11141757600393376,0.1795609862844474,0.134160129747678,0.32311493099915634,0.21053742914863083,-0.13062018241706452,-0.17610590207061438,0.3636216090696287,0.18413091888818212,-0.2573677155298286,-0.03944923009344681,0.10965749051960216,0.9772852445769966,,,,-0.04686460849619323,0.1306783236421154
2001-10-01,0.06513530192618244,0.07461153218606409,0.04706891838342475,0.02014141204609743,0.5077193684938317,0.04662250090272568,0.005312097484890366,0.05187183070684043,0.06020409232538615,0.024879595882623562,0.29967549997432696,,0.25952452784071234,0.23176688761487085,0.2828879904871062,0.11894052289750956,0.07539723219603012,0.15675406580595652,0.0026386821265198535,0.1734011085329632,,,0.4229840585558886,0.19631766446284615,0.00944097252688092,-0.005522467166955813,0.04109988214856308,0.2989571659659127,0.08983492478320088,0.11478506145079592,-0.13122434999761268,0.35184401666906684,0.061838600750945716,0.49260188480953904,-0.1529469481140513,0.08283313778859558,-0.1265916494960324,0.25165302121512756,0.1134261717808327,0.3558600015310862,0.21692708597143096,0.18783210902395808,0.1626195021775958,0.18496630839090944,0.4018419360399257,0.11638036534606222,0.1628200734035561,0.12825460077363626,0.31822015862242736,0.20201276968413673,-0.1190593600159886,-0.15239783099984372,0.37120800087318173,0.2009048691586548,-0.41032184422111406,-0.04664631645036632,0.09235812210067973,0.36089139431766726,,,,-0.10783623961492594,0.16621014478794827
